Bandit,Reward,Algorithm
1.0,1.9816335021734472,EpsilonGreedy
1.0,1.6496098161986636,EpsilonGreedy
1.0,2.952263130261892,EpsilonGreedy
1.0,2.674382212852282,EpsilonGreedy
1.0,-0.33802710841326133,EpsilonGreedy
0.0,0.0305472645881959,EpsilonGreedy
1.0,2.892648996951923,EpsilonGreedy
1.0,3.16449107548282,EpsilonGreedy
1.0,1.6546819280740725,EpsilonGreedy
1.0,0.4192812221599884,EpsilonGreedy
1.0,0.8357297373286448,EpsilonGreedy
1.0,1.7307873799687785,EpsilonGreedy
1.0,3.1269370546774615,EpsilonGreedy
1.0,0.24039045322529518,EpsilonGreedy
1.0,-0.030037392719652,EpsilonGreedy
1.0,1.6681572619394358,EpsilonGreedy
1.0,1.8306693324233718,EpsilonGreedy
1.0,1.5698435724534763,EpsilonGreedy
1.0,3.339341421184291,EpsilonGreedy
1.0,2.1270515399366925,EpsilonGreedy
1.0,0.9447471208675984,EpsilonGreedy
1.0,4.00076468173719,EpsilonGreedy
1.0,3.2266795030217743,EpsilonGreedy
1.0,3.8941514336574024,EpsilonGreedy
1.0,0.2095824456101545,EpsilonGreedy
1.0,2.5929992159980224,EpsilonGreedy
1.0,1.4373211981033736,EpsilonGreedy
1.0,0.8244651709949551,EpsilonGreedy
1.0,1.7887434132400823,EpsilonGreedy
1.0,1.0155441987052,EpsilonGreedy
1.0,2.158763526368524,EpsilonGreedy
1.0,3.5250300296149124,EpsilonGreedy
1.0,2.832480937485016,EpsilonGreedy
1.0,0.434207503538933,EpsilonGreedy
1.0,2.6729132448118356,EpsilonGreedy
1.0,1.7466245083467822,EpsilonGreedy
1.0,1.1143747210127635,EpsilonGreedy
1.0,1.5569966576152634,EpsilonGreedy
1.0,1.3650998188381767,EpsilonGreedy
1.0,2.389419348056961,EpsilonGreedy
1.0,1.8587608525476293,EpsilonGreedy
1.0,5.216334127677822,EpsilonGreedy
1.0,1.501703178439027,EpsilonGreedy
1.0,1.6592945850847507,EpsilonGreedy
1.0,1.4334411354598566,EpsilonGreedy
1.0,2.3529602034735952,EpsilonGreedy
1.0,0.3014591491502878,EpsilonGreedy
1.0,2.064814918690439,EpsilonGreedy
1.0,1.6151768374295807,EpsilonGreedy
1.0,2.5317242968670937,EpsilonGreedy
1.0,1.7703305176420348,EpsilonGreedy
1.0,2.049799564622441,EpsilonGreedy
1.0,1.4347979970526747,EpsilonGreedy
1.0,0.36432648422624436,EpsilonGreedy
1.0,1.5767195284801097,EpsilonGreedy
1.0,2.6984442169466174,EpsilonGreedy
1.0,3.025549620867008,EpsilonGreedy
1.0,2.651444202176679,EpsilonGreedy
1.0,0.8865695029424663,EpsilonGreedy
1.0,1.7881676313847847,EpsilonGreedy
1.0,2.0935785714873756,EpsilonGreedy
1.0,2.2987481196593857,EpsilonGreedy
1.0,1.650561737173174,EpsilonGreedy
1.0,1.7722201854595006,EpsilonGreedy
1.0,3.6069523244753228,EpsilonGreedy
1.0,2.818116503652451,EpsilonGreedy
1.0,3.132882822284509,EpsilonGreedy
1.0,2.8735861828908074,EpsilonGreedy
1.0,1.1490545363286768,EpsilonGreedy
1.0,2.2739356910564092,EpsilonGreedy
1.0,1.679494083788373,EpsilonGreedy
1.0,0.7365096081041624,EpsilonGreedy
1.0,3.1896891884779386,EpsilonGreedy
1.0,0.45405081171742045,EpsilonGreedy
1.0,2.3849720771570806,EpsilonGreedy
1.0,1.832590824398393,EpsilonGreedy
1.0,2.5667362253037846,EpsilonGreedy
1.0,2.250788879018472,EpsilonGreedy
1.0,0.33747951461377257,EpsilonGreedy
1.0,1.154771824942586,EpsilonGreedy
1.0,3.267041943888647,EpsilonGreedy
1.0,2.0539891975960214,EpsilonGreedy
1.0,3.7192109564860987,EpsilonGreedy
1.0,2.5861840125520876,EpsilonGreedy
1.0,2.4745451947600365,EpsilonGreedy
1.0,1.3480927167991976,EpsilonGreedy
1.0,3.3199384215450385,EpsilonGreedy
1.0,2.142108121313523,EpsilonGreedy
1.0,1.211853987425302,EpsilonGreedy
1.0,1.0880348856661537,EpsilonGreedy
1.0,1.54342037500028,EpsilonGreedy
1.0,2.363185691543529,EpsilonGreedy
1.0,1.7956198272393673,EpsilonGreedy
1.0,2.1178648104642246,EpsilonGreedy
1.0,1.780625716989661,EpsilonGreedy
1.0,-0.16680757807629698,EpsilonGreedy
1.0,1.1201313893191158,EpsilonGreedy
1.0,1.8449293907481616,EpsilonGreedy
1.0,2.735944823505833,EpsilonGreedy
1.0,2.1915351024059633,EpsilonGreedy
1.0,1.0538479492990354,EpsilonGreedy
1.0,2.484926653419458,EpsilonGreedy
1.0,2.843382093805956,EpsilonGreedy
1.0,2.357105002712154,EpsilonGreedy
1.0,2.5957932318473236,EpsilonGreedy
1.0,2.55833764206173,EpsilonGreedy
1.0,2.235719317693943,EpsilonGreedy
1.0,3.5481412366594323,EpsilonGreedy
1.0,3.5335342096865494,EpsilonGreedy
1.0,3.1919880329289314,EpsilonGreedy
1.0,2.6463073470942433,EpsilonGreedy
1.0,0.16114637153410993,EpsilonGreedy
1.0,2.0536673381620787,EpsilonGreedy
1.0,2.03154619385729,EpsilonGreedy
1.0,1.954108562146947,EpsilonGreedy
1.0,2.6562279034276695,EpsilonGreedy
1.0,1.4085483099319933,EpsilonGreedy
1.0,2.421758351550431,EpsilonGreedy
1.0,3.0358807216289767,EpsilonGreedy
1.0,1.6726678474214713,EpsilonGreedy
1.0,0.01573858364108438,EpsilonGreedy
1.0,0.5685410471852188,EpsilonGreedy
1.0,1.0587473874403663,EpsilonGreedy
1.0,1.8846029483660593,EpsilonGreedy
1.0,1.6761190287031378,EpsilonGreedy
1.0,3.2318867428646123,EpsilonGreedy
1.0,2.6721446596213343,EpsilonGreedy
1.0,2.1462746476890073,EpsilonGreedy
1.0,1.017617352128317,EpsilonGreedy
1.0,3.1165388027078182,EpsilonGreedy
1.0,1.3090542351933494,EpsilonGreedy
1.0,5.187525214319252,EpsilonGreedy
1.0,3.1368659760330697,EpsilonGreedy
